idsku;ultimocusto
VIR-1868-FULL;218.21
VIR-7249-FULL;216.63
4283;216.019
VIR-4725-FULL;215.01
2625;214.25
606;210.71
VIR-606-1;210.71
VIR-217-ML;210
3250;209.24
3251;209.24
4333;208.94
4334;208.94
4744;207.29
1434;207.122
VIR-1434-1;207.122
VIR-1434-ML;207.122
VIR-5422-ML;206
2898;205.2
VIR-2898-1;205.2
4335;204.28
4336;204.28
7534;203.2
7250;200.91075
VIR-7250-1;200.91075
VIR-7250-ML;200.91075
6867;200.84
7810;198.81
3509;195.86112
752;194.9
4769;193.68
4772;193.68
6866;190.798
4727;188.9
VIR-4727-ML;188.9
4731;188.6805
VIR-4731-ML;188.6805
1407;187.49
VIR-1407-ML;187.49
1088;187.456167
VIR-1088;187.456167
VIR-1088-ML;187.456167
4833;185.76
3511;182.4
4824;182.2065
VIR-4824-ML;182.2065
7257;178.8955
VIR-7257-ML;178.8955
4282;178.56
3913;178.14
4758;176.73
4385;176.18
VIR-4385-1;176.18
VIR-4385-ML;176.18
2620;174.329061
3989;173.41333
VIR-3989-ML;173.41333
1800;172
3093;172
2066;171.8795
VIR-2066-ML;171.8795
3091;171.45
4484;170.455
1406;170.0166
VIR-1406-ML;170.0166
3501;167.514
3497;167.5128
7056;166.015
VIR-7056-ML;166.015
1404;165.98
VIR-1404-ML;165.98
3561;165.9795
4511;165.615
7175;163.93
4738;163.36
1374;162.445
VIR-1374-ML;162.445
3923;160.9
1099;160.486
VIR-1099-ML;160.486
3252;160.12
4761;160.01
VIR-2384-ML;159.9
3975;159.825
VIR-3975-ML;159.825
4382;159.3118
VIR-4382-ML;159.3118
7813;159.295
4219;159.229
VIR-4219-ML;159.229
2158;157.967
VIR-2158;157.967
7808;157.62
7518;157.523333
VIR-7518-ML;157.523333
7519;157.52333
VIR-7519-ML;157.52333
3512;156.34444
3995;156.29
VIR-3995-ML;156.29
7809;154.8
3253;154.3
4770;153.8
4383;153.18
VIR-4383-ML;153.18
1405;152.54333
VIR-1405-ML;152.54333
3357;152.45
1432;151.87333
VIR-1432-ML;151.87333
1781;148.825
2162;147.45
VIR-2162;147.45
4771;146.875
7981;146.55
7847;146.139
VIR-7847-ML;146.139
4749;145.1
4287;144.713472
1433;144.4433
VIR-1433-ML;144.4433
3092;144.06
VIR-5366-ML;144
VIR-4732-FULL;143.74
4757;143.685
2294;143.635
4760;143.29
VIR-1099-FULL;142.75
4715;141.834
5048;141.7596
VIR-5048-ML;141.7596
4384;141.49
VIR-4384-1;141.49
VIR-4384-ML;141.49
2027;141.18
VIR-2027-1;141.18
VIR-2027-ML;141.18
1808;140.8758
VIR-1808-ML;140.8758
4509;138.43
1373;138.3
VIR-1373-ML;138.3
1094;138.0865
VIR-1094-1;138.0865
VIR-1094-ML;138.0865
VIR-790-1;136.31
VIR-993-ML1;135
1893;134.365
VIR-1893-1;134.365
VIR-1893-ML;134.365
3505;134.01024
2159;133.74
4768;133.7
6868;133.54
6869;133.54
3843;130.75461
VIR-1053-ML;130.32
1639;129.98
605;129.76
VIR-605-1;129.76
VIR-916-ML;129.6
7299;129.542375
VIR-7299-ML;129.542375
4222;129.265
VIR-4222-ML;129.265
4297;129.155123
3658;129.03
1431;129.02333
VIR-1431-ML;129.02333
1430;128.99
VIR-1430-ML;128.99
7308;126.985
4753;126.336
3990;124.87
5827;124.409958
VIR-1768-1;123.38
VIR-LED-ML2;123.3206
4286;123.084298
4747;121.8
4221;121.43
VIR-4221-ML;121.43
4299;121.17
4751;120.84
3613;120.2656
3614;120.2656
2087;119
4831;119
7142;119
2862;118.36
4732;117.7509
VIR-4732-ML;117.7509
VIR-1889-1;117.6
1892;117.45
VIR-1892-1;117.45
VIR-1892-ML;117.45
3549;116.773
VIR-1594-1;116.49
7447;115.85
1402;115.585
1403;115.585
VIR-1402-ML;115.585
VIR-1403-ML;115.585
4754;114.63
6870;114.55
6871;114.55
4009;114.18938
4498;113.551
VIR-6675-ML;113.328
VIR-7923-MLP;113.317556
4756;113.2
1123;112.70025
VIR-1123-1;112.70025
VIR-1123-ML;112.70025
1085;112.52725
VIR-1085-ML;112.52725
4763;112.24
4767;112.24
4220;112
VIR-4220-ML;112
3254;111
3255;111
VIR-1094-FULL;110.94
1400;110.88
VIR-1400-ML;110.88
1120;110.05
3500;109.5397
3496;109.532
3504;109.5299
3515;109.5276
7244;109.5276
7865;109.5276
7866;109.5276
3514;109.5275
3616;109.52726
3611;109.52
2814;108.5
1865;108.3075
VIR-1865-ML;108.3075
VIR-3372-MLP;107.97
8077;107.85
3607;107.653
7925;107.608
6460;107.4
VIR-6460-ML;107.4
4821;106.9
1145;106.7466
4748;105.08
4750;105.08
7436;104.385
7445;103.85
1119;103.7
1079;103.6849
VIR-1079-1;103.6849
VIR-1079-ML;103.6849
7807;103.64
4603;103.62667
VIR-4603-ML;103.62667
7876;102.72
VIR-7876-ML;102.72
780;102.6
8008;102.30055
3610;102.22576
3606;102.09378
3608;102.09378
6642;101.686667
4765;101.5
1125;101.2208
VIR-1125-ML;101.2208
1370;100.745
VIR-1370-ML;100.745
771;100.315
VIR-771-1;100.315
VIR-771-ML;100.315
1398;100.195
VIR-1398-ML;100.195
1397;100.17
VIR-1397-ML;100.17
1105;100.039
VIR-1105-ML;100.039
2816;99.5
3615;99.21932
VIR-3151-ML;99
VIR-926-ML1;99
VIR-3967-ML1;98.4
4604;98.371
VIR-4604-ML;98.371
2632;98.1322
1371;98.0766
VIR-1371-ML;98.0766
4762;97.915
3609;97.731
7533;97.69
1396;97.38
VIR-1396-ML;97.38
1395;97.37333
VIR-1395-ML;97.37333
3152;97
VIR-3280-ML;96.904445
7335;96.903
1816;96.425
VIR-1816-ML;96.425
1929;95.9
2644;95.864285
7663;95.77
1401;95.76
VIR-1401-ML;95.76
2482;95.557
8043;95.495
2797;95.4
VIR-4508-ML;95.1725
7452;95
7625;94.89
7305;94.765625
7307;94.765625
7310;94.765625
7312;94.765625
7314;94.765625
7315;94.765625
3489;94.7099
2886;94.03
4008;94.00147
7297;94
VIR-3634-SP;93.993647
7703;93.84
7791;93.483333
1811;93.237263
3612;92.932727
8073;92.4815
1075;91.719
VIR-1075-1;91.719
VIR-1075-ML;91.719
7806;91.39
4832;90.52
5828;90.38225
3487;90.1992
3490;90.1992
3491;90.1992
4755;90
6804;90
6805;90
6806;90
6807;90
6808;90
6809;90
6810;90
6811;90
6814;90
6816;90
6822;90
CORP-120;90
VIR-4604-FULL;89.61
3111;89.452876
3112;89.452876
VIR-3152-FULL;89.34
2672;89.102662
4800;89.01441
3372;88.77
VIR-3372-ML;88.77
1912;87.9
2669;87.49
1091;87.485
VIR-1091-1;87.485
VIR-1091-ML;87.485
VIR-4848-MLP;87.2372
VIR-877-ML;87.1616
1369;87.15
VIR-1369-ML;87.15
2749;86.9
7797;86.88
4202;86.8692
863;86.49125
VIR-863-ML;86.49125
870;86.465
VIR-870-ML;86.465
6677;86.454875
VIR-6677-ML;86.454875
VIR-1257-ML;86.075
2734;86
3912;85.94
6813;85.9
1368;85.375
VIR-1368-ML;85.375
VIR-5624-MLP;84.5306
1647;84
VIR-I700-ML;83.647
7568;83.323
2704;83.2
6812;82.9
3548;82.8635
2156;82.49
VIR-2156;82.49
VIR-2156-1;82.49
3558;81.616
3914;81.5
VIR-3913-FULL;81.5
7622;81.37815
5499;81.25511
3508;81.2
4799;81.12891
6911;80.9
4242;80.808
VIR-4242-1;80.808
VIR-6672-ML;80.095
7451;80
VIR-853-ML2;80
7952;79.97
VIR-504-ML1;79.8855
7636;79.825
4739;79.7
4743;79.52666
4746;79.52666
2815;79.5
7627;78.8025
4741;77.73
2671;77.48
7641;77.17
4257;77.16
VIR-1075-FULL;76.96
1891;76.89
VIR-1891-ML;76.89
1366;76.81666
1367;76.81666
VIR-1366-ML;76.81666
VIR-1367-ML;76.81666
2623;76.78
6924;76.5
VIR-2397-ML;76.2
2565;76
VIR-7501-ML5;75.6
5111;75.493166
3495;75.2
3503;75.166
3516;75.166
3499;75.16
736;75.144946
7948;75
VIR-385-ML;75
VIR-610-ML;75
5678;74.88
3911;74.63
2508;73.9
VIR-922-ML;73.1775
8006;72.653
3986;72.6
VIR-3986-ML;72.6
VIR-4I-ML;72.4134
7311;72.37
3517;72.23
3113;72.07
7640;71.94
7289;71.9
7304;71.9
7309;71.9
7318;71.9
2796;71.4
2804;71.4
7830;71.303
VIR-6674-ML;71.24
4742;71.16832
7481;71.15333
VIR-7481-ML;71.15333
4740;71.1
4302;71.036
2574;71
6851;70.703182
1640;70.62
516;70.5
3371;70.485
VIR-3371-ML;70.485
7571;70.346667
8036;70.346667
7303;70
7306;70
7313;70
7959;69.9
5825;69.888
7781;69.83
VIR-429-ML1;69.474
VIR-6322-ML;69.2
3547;69.111928
7251;69.005
VIR-7251-ML;69.005
VIR-4564-ML1;68.665
1846;68.4
7593;68.228
VIR-976-ML1;67.795
1485;67.2
2287;67.2
2662;67
4201;66.9
7398;66.89
3488;66.76
5088;66.717
3320;66.66
773;66.58333
VIR-6671-ML;66.085
3513;66
VIR-2572-ML;65.8
763;65.6925
VIR-763-1;65.6925
VIR-763-ML;65.6925
VIR-430-ML1;65.661
VIR-431-ML1;65.661
VIR-779-ML2;65
VIR-7251-FULL;64.42
2483;64.088
1104;63.7145
VIR-1104-ML;63.7145
6640;63.543333
VIR-6620-ML;63.35
7615;62.9
2705;62.78
7155;62.738527
VIR-1486-MLP;61.87666
3370;61.635
VIR-3370-ML;61.635
5829;61.61625
2707;61.59
2708;61.59
VIR-2660-ML;61.5
611;61.38
4192;60.865
784;60.81
7613;60.45333
7957;60.452
VIR-7013-ML;60.275
8040;60.043
8042;60.043
4610;60
7677;59.98
7575;59.9
766;59.85
VIR-766-ML;59.85
1106;59.48
VIR-1106-ML;59.48
3080;59.36
VIR-2966-ML2;59.18014
6716;59.00995
869;58.978333
VIR-869-ML;58.978333
3987;58.95
2821;58.8836
VIR-809-1;58.71
6733;58.455
7598;58.4
1033;58.26
2800;58.2
7976;58.0933
7161;57.9898
2195;57.9
2490;57.54
1365;57.50666
VIR-1365-ML;57.50666
7744;57.23
VIR-981-ML;57.16768
VIR-3521-ML;57.1261
VIR-3522-ML;57.126
1474;57.11333
VIR-1474-ML;57.11333
VIR-7824-MLP;57.079667
7566;56.9
7336;56.89
1364;56.8225
VIR-1364-ML;56.8225
VIR-494-ML;56.27
8041;56.1533
VIR-427-ML1;56.063
2619;56.008
762;55.99
VIR-762-ML;55.99
2788;55.8
4198;55.8
6569;55.8
4296;55.62
4272;55.17
2876;55.16
VIR-979-ML;55
7441;55
VIR-424-ML;54.9
VIR-3600-ML1;54.771
1641;54.31
680;54.29
7448;54.175
VIR-816-1;53.77
3671;53.76
VIR-5590-ML;53.601
2792;53.4
2799;53.4
2809;53.4
3305;53.4
6859;53.4
1655;53.22
5541;53.160555
7302;53.13
VIR-7302-ML;53.13
VIR-873-ML;53.1
1914;52.9
7570;52.9
VIR-POT4-ML;52.668
3892;52.64
7446;52.55
VIR-2530-ML2;52.5
VIR-3911-FULL;52.3
1486;52.27666
VIR-1486-ML;52.27666
2795;52.2
VIR-5745-ML;51.8995
5544;51.831
3981;51.59
VIR-3981-ML;51.59
VIR-5573-ML;51.48
4243;51.45
VIR-4243-1;51.45
1487;51.346
VIR-1487-ML;51.346
7573;51.313
7385;51.312
VIR-6742-MLP;51.16067
2459;51.11666
VIR-2459-ML;51.11666
5357;51.11
VIR-3594-ML1;51.0469
VIR-3597-ML1;51.0469
VIR-3602-ML1;51.0469
6862;51
VIR-7248-ML1;51
CORP-113;50.80205
7769;50.802
2295;50.508821
7444;50.468
VIR-5565-ML1;50.465
VIR-4244-1;50.462857
VIR-7501-ML4;50.4
2871;50.34
7569;50.22
7849;50.11
1810;50
2157;50
VIR-PL-ML;49.98
1932;49.9
2611;49.9
7546;49.9
3567;49.87
1329;49.81
3304;49.8
7771;49.783333
7775;49.263
4245;49.16
VIR-2205-ML;49.1
VIR-3598-ML1;48.8655
1802;48.794
3556;48.7715
VIR-690-ML;48.4806
VIR2-DIVI-ML;48.4669
7742;48.17
VIR-617-ML1;48.15555
7170;48.115
VIR-1334-ML1;48
6639;47.756
7541;47.73
